_id,user_id,anime_id,rating
6398785c64712df6d7fcf51d,1,20,-1
6398785c64712df6d7fcf51e,1,24,-1
6398785c64712df6d7fcf51f,1,79,-1
6398785c64712df6d7fcf520,1,226,-1
6398785c64712df6d7fcf521,1,241,-1
6398785c64712df6d7fcf522,1,355,-1
6398785c64712df6d7fcf523,1,356,-1
6398785c64712df6d7fcf524,1,442,-1
6398785c64712df6d7fcf525,1,487,-1
6398785c64712df6d7fcf526,1,846,-1
6398785c64712df6d7fcf527,1,936,-1
6398785c64712df6d7fcf528,1,1546,-1
6398785c64712df6d7fcf529,1,1692,-1
6398785c64712df6d7fcf52a,1,1836,-1
6398785c64712df6d7fcf52b,1,2001,-1
6398785c64712df6d7fcf52c,1,2025,-1
6398785c64712df6d7fcf52d,1,2144,-1
6398785c64712df6d7fcf52e,1,2787,-1
6398785c64712df6d7fcf52f,1,2993,-1
6398785c64712df6d7fcf530,1,3455,-1
6398785c64712df6d7fcf531,1,4063,-1
6398785c64712df6d7fcf532,1,4214,-1
6398785c64712df6d7fcf533,1,4224,-1
6398785c64712df6d7fcf534,1,4581,-1
6398785c64712df6d7fcf535,1,4744,-1
6398785c64712df6d7fcf536,1,4898,-1
6398785c64712df6d7fcf537,1,4999,-1
6398785c64712df6d7fcf538,1,5034,-1
6398785c64712df6d7fcf539,1,5277,-1
6398785c64712df6d7fcf53a,1,5667,-1
6398785c64712df6d7fcf53b,1,5781,-1
6398785c64712df6d7fcf53c,1,5958,-1
6398785c64712df6d7fcf53d,1,6163,-1
6398785c64712df6d7fcf53e,1,6205,-1
6398785c64712df6d7fcf53f,1,6324,-1
6398785c64712df6d7fcf540,1,6500,-1
6398785c64712df6d7fcf541,1,6547,-1
6398785c64712df6d7fcf542,1,6682,-1
6398785c64712df6d7fcf543,1,6707,-1
6398785c64712df6d7fcf544,1,6747,-1
6398785c64712df6d7fcf545,1,6773,-1
6398785c64712df6d7fcf546,1,6793,-1
6398785c64712df6d7fcf547,1,7088,-1
6398785c64712df6d7fcf548,1,7148,-1
6398785c64712df6d7fcf549,1,7593,-1
6398785c64712df6d7fcf54a,1,7739,-1
6398785c64712df6d7fcf54b,1,7858,-1
6398785c64712df6d7fcf54c,1,8074,10
6398785c64712df6d7fcf54d,1,8407,-1
6398785c64712df6d7fcf54e,1,8424,-1
6398785c64712df6d7fcf54f,1,8525,-1
6398785c64712df6d7fcf550,1,8630,-1
6398785c64712df6d7fcf551,1,8841,-1
6398785c64712df6d7fcf552,1,9041,-1
6398785c64712df6d7fcf553,1,9062,-1
6398785c64712df6d7fcf554,1,9136,-1
6398785c64712df6d7fcf555,1,9181,-1
6398785c64712df6d7fcf556,1,9330,-1
6398785c64712df6d7fcf557,1,9367,-1
6398785c64712df6d7fcf558,1,9515,-1
6398785c64712df6d7fcf559,1,9581,-1
6398785c64712df6d7fcf55a,1,9675,-1
6398785c64712df6d7fcf55b,1,9750,-1
6398785c64712df6d7fcf55c,1,9790,-1
6398785c64712df6d7fcf55d,1,9919,-1
6398785c64712df6d7fcf55e,1,10067,-1
6398785c64712df6d7fcf55f,1,10073,-1
6398785c64712df6d7fcf560,1,10076,-1
6398785c64712df6d7fcf561,1,10079,-1
6398785c64712df6d7fcf562,1,10080,-1
6398785c64712df6d7fcf563,1,10209,-1
6398785c64712df6d7fcf564,1,10578,-1
6398785c64712df6d7fcf565,1,10604,-1
6398785c64712df6d7fcf566,1,10719,-1
6398785c64712df6d7fcf567,1,10790,-1
6398785c64712df6d7fcf568,1,10793,-1
6398785c64712df6d7fcf569,1,10794,-1
6398785c64712df6d7fcf56a,1,10805,-1
6398785c64712df6d7fcf56b,1,10897,-1
6398785c64712df6d7fcf56c,1,11161,-1
6398785c64712df6d7fcf56d,1,11266,-1
6398785c64712df6d7fcf56e,1,11617,10
6398785c64712df6d7fcf56f,1,11737,-1
6398785c64712df6d7fcf570,1,11757,10
6398785c64712df6d7fcf571,1,11759,-1
6398785c64712df6d7fcf572,1,11771,-1
6398785c64712df6d7fcf573,1,12293,-1
6398785c64712df6d7fcf574,1,12549,-1
6398785c64712df6d7fcf575,1,12729,-1
6398785c64712df6d7fcf576,1,13357,-1
6398785c64712df6d7fcf577,1,13367,-1
6398785c64712df6d7fcf578,1,13411,-1
6398785c64712df6d7fcf579,1,13561,-1
6398785c64712df6d7fcf57a,1,13663,-1
6398785c64712df6d7fcf57b,1,13759,-1
6398785c64712df6d7fcf57c,1,14749,-1
6398785c64712df6d7fcf57d,1,14813,-1
6398785c64712df6d7fcf57e,1,14833,-1
6398785c64712df6d7fcf57f,1,14967,-1
6398785c64712df6d7fcf580,1,15117,-1
6398785c64712df6d7fcf581,1,15437,-1
6398785c64712df6d7fcf582,1,15451,10
6398785c64712df6d7fcf583,1,15583,-1
6398785c64712df6d7fcf584,1,15609,-1
6398785c64712df6d7fcf585,1,16011,-1
6398785c64712df6d7fcf586,1,16498,-1
6398785c64712df6d7fcf587,1,16706,-1
6398785c64712df6d7fcf588,1,17265,-1
6398785c64712df6d7fcf589,1,17729,-1
6398785c64712df6d7fcf58a,1,18247,-1
6398785c64712df6d7fcf58b,1,18277,-1
6398785c64712df6d7fcf58c,1,18753,-1
6398785c64712df6d7fcf58d,1,18897,-1
6398785c64712df6d7fcf58e,1,19163,-1
6398785c64712df6d7fcf58f,1,19221,-1
6398785c64712df6d7fcf590,1,19285,-1
6398785c64712df6d7fcf591,1,19429,-1
6398785c64712df6d7fcf592,1,19815,-1
6398785c64712df6d7fcf593,1,20045,-1
6398785c64712df6d7fcf594,1,20785,-1
6398785c64712df6d7fcf595,1,20787,-1
6398785c64712df6d7fcf596,1,21033,-1
6398785c64712df6d7fcf597,1,21881,-1
6398785c64712df6d7fcf598,1,22147,-1
6398785c64712df6d7fcf599,1,22199,-1
6398785c64712df6d7fcf59a,1,22319,-1
6398785c64712df6d7fcf59b,1,22535,-1
6398785c64712df6d7fcf59c,1,22547,-1
6398785c64712df6d7fcf59d,1,22663,-1
6398785c64712df6d7fcf59e,1,22877,-1
6398785c64712df6d7fcf59f,1,23233,-1
6398785c64712df6d7fcf5a0,1,23321,-1
6398785c64712df6d7fcf5a1,1,23847,-1
6398785c64712df6d7fcf5a2,1,24133,-1
6398785c64712df6d7fcf5a3,1,24455,-1
6398785c64712df6d7fcf5a4,1,24873,-1
6398785c64712df6d7fcf5a5,1,25099,-1
6398785c64712df6d7fcf5a6,1,25157,-1
6398785c64712df6d7fcf5a7,1,25159,-1
6398785c64712df6d7fcf5a8,1,25283,-1
6398785c64712df6d7fcf5a9,1,25397,-1
6398785c64712df6d7fcf5aa,1,26243,-1
